index,country,conf,deth,recv,ts,days,code,continent,sub_region,pop
0,Afghanistan,1,0,0,2020-02-24,1,AFG,Asia,Southern Asia,37172386.0
1,Afghanistan,1,0,0,2020-02-25,2,AFG,Asia,Southern Asia,37172386.0
2,Afghanistan,1,0,0,2020-02-26,3,AFG,Asia,Southern Asia,37172386.0
3,Afghanistan,1,0,0,2020-02-27,4,AFG,Asia,Southern Asia,37172386.0
4,Afghanistan,1,0,0,2020-02-28,5,AFG,Asia,Southern Asia,37172386.0
5,Afghanistan,1,0,0,2020-02-29,6,AFG,Asia,Southern Asia,37172386.0
6,Afghanistan,1,0,0,2020-03-01,7,AFG,Asia,Southern Asia,37172386.0
7,Afghanistan,1,0,0,2020-03-02,8,AFG,Asia,Southern Asia,37172386.0
8,Afghanistan,1,0,0,2020-03-03,9,AFG,Asia,Southern Asia,37172386.0
9,Afghanistan,1,0,0,2020-03-04,10,AFG,Asia,Southern Asia,37172386.0
10,Afghanistan,1,0,0,2020-03-05,11,AFG,Asia,Southern Asia,37172386.0
11,Afghanistan,1,0,0,2020-03-06,12,AFG,Asia,Southern Asia,37172386.0
12,Afghanistan,1,0,0,2020-03-07,13,AFG,Asia,Southern Asia,37172386.0
13,Afghanistan,4,0,0,2020-03-08,14,AFG,Asia,Southern Asia,37172386.0
14,Afghanistan,4,0,0,2020-03-09,15,AFG,Asia,Southern Asia,37172386.0
15,Afghanistan,5,0,0,2020-03-10,16,AFG,Asia,Southern Asia,37172386.0
16,Afghanistan,7,0,0,2020-03-11,17,AFG,Asia,Southern Asia,37172386.0
17,Afghanistan,7,0,0,2020-03-12,18,AFG,Asia,Southern Asia,37172386.0
18,Afghanistan,7,0,0,2020-03-13,19,AFG,Asia,Southern Asia,37172386.0
19,Afghanistan,11,0,0,2020-03-14,20,AFG,Asia,Southern Asia,37172386.0
20,Afghanistan,16,0,0,2020-03-15,21,AFG,Asia,Southern Asia,37172386.0
21,Afghanistan,21,0,1,2020-03-16,22,AFG,Asia,Southern Asia,37172386.0
22,Afghanistan,22,0,1,2020-03-17,23,AFG,Asia,Southern Asia,37172386.0
23,Afghanistan,22,0,1,2020-03-18,24,AFG,Asia,Southern Asia,37172386.0
24,Afghanistan,22,0,1,2020-03-19,25,AFG,Asia,Southern Asia,37172386.0
25,Albania,2,0,0,2020-03-09,1,ALB,Europe,Southern Europe,2866376.0
26,Albania,10,0,0,2020-03-10,2,ALB,Europe,Southern Europe,2866376.0
27,Albania,12,1,0,2020-03-11,3,ALB,Europe,Southern Europe,2866376.0
28,Albania,23,1,0,2020-03-12,4,ALB,Europe,Southern Europe,2866376.0
29,Albania,33,1,0,2020-03-13,5,ALB,Europe,Southern Europe,2866376.0
30,Albania,38,1,0,2020-03-14,6,ALB,Europe,Southern Europe,2866376.0
31,Albania,42,1,0,2020-03-15,7,ALB,Europe,Southern Europe,2866376.0
32,Albania,51,1,0,2020-03-16,8,ALB,Europe,Southern Europe,2866376.0
33,Albania,55,1,0,2020-03-17,9,ALB,Europe,Southern Europe,2866376.0
34,Albania,59,2,0,2020-03-18,10,ALB,Europe,Southern Europe,2866376.0
35,Albania,64,2,0,2020-03-19,11,ALB,Europe,Southern Europe,2866376.0
36,Algeria,1,0,0,2020-02-25,1,DZA,Africa,Northern Africa,42228429.0
37,Algeria,1,0,0,2020-02-26,2,DZA,Africa,Northern Africa,42228429.0
38,Algeria,1,0,0,2020-02-27,3,DZA,Africa,Northern Africa,42228429.0
39,Algeria,1,0,0,2020-02-28,4,DZA,Africa,Northern Africa,42228429.0
40,Algeria,1,0,0,2020-02-29,5,DZA,Africa,Northern Africa,42228429.0
41,Algeria,1,0,0,2020-03-01,6,DZA,Africa,Northern Africa,42228429.0
42,Algeria,3,0,0,2020-03-02,7,DZA,Africa,Northern Africa,42228429.0
43,Algeria,5,0,0,2020-03-03,8,DZA,Africa,Northern Africa,42228429.0
44,Algeria,12,0,0,2020-03-04,9,DZA,Africa,Northern Africa,42228429.0
45,Algeria,12,0,0,2020-03-05,10,DZA,Africa,Northern Africa,42228429.0
46,Algeria,17,0,0,2020-03-06,11,DZA,Africa,Northern Africa,42228429.0
47,Algeria,17,0,0,2020-03-07,12,DZA,Africa,Northern Africa,42228429.0
48,Algeria,19,0,0,2020-03-08,13,DZA,Africa,Northern Africa,42228429.0
49,Algeria,20,0,0,2020-03-09,14,DZA,Africa,Northern Africa,42228429.0
50,Algeria,20,0,0,2020-03-10,15,DZA,Africa,Northern Africa,42228429.0
51,Algeria,20,0,0,2020-03-11,16,DZA,Africa,Northern Africa,42228429.0
52,Algeria,24,1,8,2020-03-12,17,DZA,Africa,Northern Africa,42228429.0
53,Algeria,26,2,8,2020-03-13,18,DZA,Africa,Northern Africa,42228429.0
54,Algeria,37,3,12,2020-03-14,19,DZA,Africa,Northern Africa,42228429.0
55,Algeria,48,4,12,2020-03-15,20,DZA,Africa,Northern Africa,42228429.0
56,Algeria,54,4,12,2020-03-16,21,DZA,Africa,Northern Africa,42228429.0
57,Algeria,60,4,12,2020-03-17,22,DZA,Africa,Northern Africa,42228429.0
58,Algeria,74,7,12,2020-03-18,23,DZA,Africa,Northern Africa,42228429.0
59,Algeria,87,9,32,2020-03-19,24,DZA,Africa,Northern Africa,42228429.0
60,Andorra,1,0,0,2020-03-02,1,AND,Europe,Southern Europe,77006.0
61,Andorra,1,0,0,2020-03-03,2,AND,Europe,Southern Europe,77006.0
62,Andorra,1,0,0,2020-03-04,3,AND,Europe,Southern Europe,77006.0
63,Andorra,1,0,0,2020-03-05,4,AND,Europe,Southern Europe,77006.0
64,Andorra,1,0,0,2020-03-06,5,AND,Europe,Southern Europe,77006.0
65,Andorra,1,0,0,2020-03-07,6,AND,Europe,Southern Europe,77006.0
66,Andorra,1,0,0,2020-03-08,7,AND,Europe,Southern Europe,77006.0
67,Andorra,1,0,0,2020-03-09,8,AND,Europe,Southern Europe,77006.0
68,Andorra,1,0,0,2020-03-10,9,AND,Europe,Southern Europe,77006.0
69,Andorra,1,0,0,2020-03-11,10,AND,Europe,Southern Europe,77006.0
70,Andorra,1,0,1,2020-03-12,11,AND,Europe,Southern Europe,77006.0
71,Andorra,1,0,0,2020-03-13,12,AND,Europe,Southern Europe,77006.0
72,Andorra,1,0,1,2020-03-14,13,AND,Europe,Southern Europe,77006.0
73,Andorra,1,0,1,2020-03-15,14,AND,Europe,Southern Europe,77006.0
74,Andorra,2,0,1,2020-03-16,15,AND,Europe,Southern Europe,77006.0
75,Andorra,39,0,1,2020-03-17,16,AND,Europe,Southern Europe,77006.0
76,Andorra,39,0,1,2020-03-18,17,AND,Europe,Southern Europe,77006.0
77,Andorra,53,0,1,2020-03-19,18,AND,Europe,Southern Europe,77006.0
78,Antigua and Barbuda,1,0,0,2020-03-13,1,ATG,Americas,Caribbean,96286.0
79,Antigua and Barbuda,1,0,0,2020-03-14,2,ATG,Americas,Caribbean,96286.0
80,Antigua and Barbuda,1,0,0,2020-03-15,3,ATG,Americas,Caribbean,96286.0
81,Antigua and Barbuda,1,0,0,2020-03-16,4,ATG,Americas,Caribbean,96286.0
82,Antigua and Barbuda,1,0,0,2020-03-17,5,ATG,Americas,Caribbean,96286.0
83,Antigua and Barbuda,1,0,0,2020-03-18,6,ATG,Americas,Caribbean,96286.0
84,Antigua and Barbuda,1,0,0,2020-03-19,7,ATG,Americas,Caribbean,96286.0
85,Argentina,1,0,0,2020-03-03,1,ARG,Americas,South America,44494502.0
86,Argentina,1,0,0,2020-03-04,2,ARG,Americas,South America,44494502.0
87,Argentina,1,0,0,2020-03-05,3,ARG,Americas,South America,44494502.0
88,Argentina,2,0,0,2020-03-06,4,ARG,Americas,South America,44494502.0
89,Argentina,8,0,0,2020-03-07,5,ARG,Americas,South America,44494502.0
90,Argentina,12,1,0,2020-03-08,6,ARG,Americas,South America,44494502.0
91,Argentina,12,1,0,2020-03-09,7,ARG,Americas,South America,44494502.0
92,Argentina,17,1,0,2020-03-10,8,ARG,Americas,South America,44494502.0
93,Argentina,19,1,0,2020-03-11,9,ARG,Americas,South America,44494502.0
94,Argentina,19,1,0,2020-03-12,10,ARG,Americas,South America,44494502.0
95,Argentina,31,2,0,2020-03-13,11,ARG,Americas,South America,44494502.0
96,Argentina,34,2,1,2020-03-14,12,ARG,Americas,South America,44494502.0
97,Argentina,45,2,1,2020-03-15,13,ARG,Americas,South America,44494502.0
98,Argentina,56,2,1,2020-03-16,14,ARG,Americas,South America,44494502.0
99,Argentina,68,2,3,2020-03-17,15,ARG,Americas,South America,44494502.0
100,Argentina,79,2,3,2020-03-18,16,ARG,Americas,South America,44494502.0
101,Argentina,97,3,3,2020-03-19,17,ARG,Americas,South America,44494502.0
102,Armenia,1,0,0,2020-03-01,1,ARM,Asia,Western Asia,2951776.0
103,Armenia,1,0,0,2020-03-02,2,ARM,Asia,Western Asia,2951776.0
104,Armenia,1,0,0,2020-03-03,3,ARM,Asia,Western Asia,2951776.0
105,Armenia,1,0,0,2020-03-04,4,ARM,Asia,Western Asia,2951776.0
106,Armenia,1,0,0,2020-03-05,5,ARM,Asia,Western Asia,2951776.0
107,Armenia,1,0,0,2020-03-06,6,ARM,Asia,Western Asia,2951776.0
108,Armenia,1,0,0,2020-03-07,7,ARM,Asia,Western Asia,2951776.0
109,Armenia,1,0,0,2020-03-08,8,ARM,Asia,Western Asia,2951776.0
110,Armenia,1,0,0,2020-03-09,9,ARM,Asia,Western Asia,2951776.0
111,Armenia,1,0,0,2020-03-10,10,ARM,Asia,Western Asia,2951776.0
112,Armenia,1,0,0,2020-03-11,11,ARM,Asia,Western Asia,2951776.0
113,Armenia,4,0,0,2020-03-12,12,ARM,Asia,Western Asia,2951776.0
114,Armenia,8,0,0,2020-03-13,13,ARM,Asia,Western Asia,2951776.0
115,Armenia,18,0,0,2020-03-14,14,ARM,Asia,Western Asia,2951776.0
116,Armenia,26,0,0,2020-03-15,15,ARM,Asia,Western Asia,2951776.0
117,Armenia,52,0,0,2020-03-16,16,ARM,Asia,Western Asia,2951776.0
118,Armenia,78,0,1,2020-03-17,17,ARM,Asia,Western Asia,2951776.0
119,Armenia,84,0,1,2020-03-18,18,ARM,Asia,Western Asia,2951776.0
120,Armenia,115,0,1,2020-03-19,19,ARM,Asia,Western Asia,2951776.0
121,Australia,4,0,0,2020-01-26,1,AUS,Oceania,Australia and New Zealand,24992369.0
122,Australia,5,0,0,2020-01-27,2,AUS,Oceania,Australia and New Zealand,24992369.0
123,Australia,5,0,0,2020-01-28,3,AUS,Oceania,Australia and New Zealand,24992369.0
124,Australia,6,0,0,2020-01-29,4,AUS,Oceania,Australia and New Zealand,24992369.0
125,Australia,9,0,2,2020-01-30,5,AUS,Oceania,Australia and New Zealand,24992369.0
126,Australia,9,0,2,2020-01-31,6,AUS,Oceania,Australia and New Zealand,24992369.0
127,Australia,12,0,2,2020-02-01,7,AUS,Oceania,Australia and New Zealand,24992369.0
128,Australia,12,0,2,2020-02-02,8,AUS,Oceania,Australia and New Zealand,24992369.0
129,Australia,12,0,2,2020-02-03,9,AUS,Oceania,Australia and New Zealand,24992369.0
130,Australia,13,0,2,2020-02-04,10,AUS,Oceania,Australia and New Zealand,24992369.0
131,Australia,13,0,2,2020-02-05,11,AUS,Oceania,Australia and New Zealand,24992369.0
132,Australia,14,0,2,2020-02-06,12,AUS,Oceania,Australia and New Zealand,24992369.0
133,Australia,15,0,2,2020-02-07,13,AUS,Oceania,Australia and New Zealand,24992369.0
134,Australia,15,0,2,2020-02-08,14,AUS,Oceania,Australia and New Zealand,24992369.0
135,Australia,15,0,2,2020-02-09,15,AUS,Oceania,Australia and New Zealand,24992369.0
136,Australia,15,0,2,2020-02-10,16,AUS,Oceania,Australia and New Zealand,24992369.0
137,Australia,15,0,2,2020-02-11,17,AUS,Oceania,Australia and New Zealand,24992369.0
138,Australia,15,0,2,2020-02-12,18,AUS,Oceania,Australia and New Zealand,24992369.0
139,Australia,15,0,8,2020-02-13,19,AUS,Oceania,Australia and New Zealand,24992369.0
140,Australia,15,0,8,2020-02-14,20,AUS,Oceania,Australia and New Zealand,24992369.0
141,Australia,15,0,8,2020-02-15,21,AUS,Oceania,Australia and New Zealand,24992369.0
