index,country,conf,deth,recv,ts,days
0,Afghanistan,1,0,0,2020-02-24,1
1,Afghanistan,1,0,0,2020-02-25,2
2,Afghanistan,1,0,0,2020-02-26,3
3,Afghanistan,1,0,0,2020-02-27,4
4,Afghanistan,1,0,0,2020-02-28,5
5,Afghanistan,1,0,0,2020-02-29,6
6,Afghanistan,1,0,0,2020-03-01,7
7,Afghanistan,1,0,0,2020-03-02,8
8,Afghanistan,1,0,0,2020-03-03,9
9,Afghanistan,1,0,0,2020-03-04,10
10,Afghanistan,1,0,0,2020-03-05,11
11,Afghanistan,1,0,0,2020-03-06,12
12,Afghanistan,1,0,0,2020-03-07,13
13,Afghanistan,4,0,0,2020-03-08,14
14,Afghanistan,4,0,0,2020-03-09,15
15,Afghanistan,5,0,0,2020-03-10,16
16,Afghanistan,7,0,0,2020-03-11,17
17,Afghanistan,7,0,0,2020-03-12,18
18,Afghanistan,7,0,0,2020-03-13,19
19,Afghanistan,11,0,0,2020-03-14,20
20,Afghanistan,16,0,0,2020-03-15,21
21,Afghanistan,21,0,1,2020-03-16,22
22,Afghanistan,22,0,1,2020-03-17,23
23,Afghanistan,22,0,1,2020-03-18,24
24,Afghanistan,22,0,1,2020-03-19,25
25,Albania,2,0,0,2020-03-09,1
26,Albania,10,0,0,2020-03-10,2
27,Albania,12,1,0,2020-03-11,3
28,Albania,23,1,0,2020-03-12,4
29,Albania,33,1,0,2020-03-13,5
30,Albania,38,1,0,2020-03-14,6
31,Albania,42,1,0,2020-03-15,7
32,Albania,51,1,0,2020-03-16,8
33,Albania,55,1,0,2020-03-17,9
34,Albania,59,2,0,2020-03-18,10
35,Albania,64,2,0,2020-03-19,11
36,Algeria,1,0,0,2020-02-25,1
37,Algeria,1,0,0,2020-02-26,2
38,Algeria,1,0,0,2020-02-27,3
39,Algeria,1,0,0,2020-02-28,4
40,Algeria,1,0,0,2020-02-29,5
41,Algeria,1,0,0,2020-03-01,6
42,Algeria,3,0,0,2020-03-02,7
43,Algeria,5,0,0,2020-03-03,8
44,Algeria,12,0,0,2020-03-04,9
45,Algeria,12,0,0,2020-03-05,10
